Dutch,English
gedachte,thought
films,films
hoopte,hoped
doc,doctrine
gebruikte,used
gelaten,resistant
voeren,feed
bedenken,think about
bekijk,look at
verborgen,hidden
oplossing,solution
donder,Thunder
verdomd,damn
laag,low
km,km
bak,bin
speelde,played
verwachten,to expect
uitstekend,excellent
voedsel,food
arts,doctor
fouten,faults
super,super
testen,to test
kleur,colour
aangevallen,attacked
station,station
kip,chicken
Simon,Simon
piloot,pilot
truck,truck
duizenden,thousands
kluis,safe
maatje,Buddy
des,des
echtgenoot,husband
Don,Don
vermoordt,killed
gouden,golden
elf,eleven
gebleven,remained
taal,language
sterker,stronger
noorden,north
zwemmen,swimming
hoewel,although
leugenaar,liar
St.,St.
vermist,missing
toon,tone
vijanden,enemies
meegemaakt,experienced
compleet,completely
shirt,shirt
deuren,doors
vertrekt,leaves
lijden,suffering
geïnteresseerd,interested
veroorzaakt,caused
telefoontje,phone
proces,process
tent,tent
harder,harder
drank,drink
begrafenis,funeral
achtergelaten,abandoned
gedragen,behave
war,war
verstand,mind
stuurt,steering
snapt,gets
oplossen,to resolve
vaarwel,farewell
ongelofelijk,incredible
video,video
Adam,Adam
kregen,got
bevalt,pleases
hiervan,thus
vriendelijk,friendly
bereikt,reaches
Vegas,Vegas
Victor,Victor
jagen,to hunt
wit,white
heus,real
neen,no
bieden,offer
vrijdag,Friday
theorie,theory
genaamd,called
melk,milk
uwe,yours
dankbaar,satisfying
vluchten,to flee
paarden,horses
sterf,die
blind,blind
vorig,last
koffer,Suitcase
vasthouden,to hold
carrière,career
vliegveld,airport
waardeer,appreciate
verloor,lost
goden,gods
manieren,manners
normale,normal
geheimen,secrets
reizen,to travel
hoger,higher
schoonheid,beauty
straf,punishment
iedereen,everybody
minister,minister
eng,scary
yeah,yeah
verkoop,sale
berg,mountain
hoed,hat
Alice,Alice
klant,customer
vergadering,meeting
sterren,stars
papier,paper
gezelschap,company
jouwe,yours
koers,course
doorheen,through
kilo,kilo
stukken,pieces
volle,full
storm,storm
harde,tough
data,dates
black,black
beslist,specifically
vloer,floor
geheugen,memory
reken,calculation
liedje,song
blijkt,turns out
contract,contract
eigenaar,owner
verdiend,earned
ernstig,seriously
bende,gang
pers,press
gozer,guy
lid,member
hiervoor,for this
uitgenodigd,invited
blauw,blue
taart,cake
steun,support
moeders,mothers
stilte,Silence
toeval,chance
cent,penny
gevangene,prisoner
verliest,loses
eenheid,unit
roepen,call
wiens,whose
dader,perpetrator
aannemen,contract
talent,talent
herinnert,remember
hemelsnaam,heaven's sake
vandoor,off
ondertiteling,subtitle
borst,chest
you,You
koken,to cook
westen,West
lenen,to lend
dans,dance
aandoen,to affect
omgeving,surroundings
miljoenen,millions
vergissing,mistake
schepen,ships
gezond,healthy
ren,run
bijvoorbeeld,for example
tegenover,opposite
verstopt,constipated
korte,short
vreselijke,terrible
Chicago,Chicago
klus,job
graden,degree
sterke,strong
groene,green
jazeker,"Yes, of course"
beslissen,to decide
zuiden,south
lord,Lord
gaande,going on
verdieping,floor
magie,magic
erom,about
snelheid,speed
voren,forward
kunst,art
kelder,cellar
redt,saves
arresteren,to arrest
gewacht,waited
kwestie,matter
bidden,pray
beelden,images
niveau,level
hartelijk,heartfelt
geduld,patience
gespeeld,played
schattig,cute
nauwelijks,barely
pond,lb
bepaald,determined
King,King
ruim,roomy
leerde,learned
duur,expensive
nogmaals,once again
tuin,garden
zaterdag,Saturday
ondanks,despite
wijs,show
behandelen,to deal with
yo,yo
ruik,smell
gebouwd,built
liefste,Dear
bergen,mountains
aankomen,arrive
gave,gift
pakt,grabs
ideeën,ideas
ontvoerd,abducted
verzoek,request
kast,closet
Sean,Sean
geesten,ghost
orders,orders
droeg,wore
leugen,lie
hielp,helped
kerstmis,Christmas
gelul,dowel
gedeelte,section
mevr.,Mrs.
ontmoette,met
edelachtbare,prevailable
flat,flat
tong,tongue
logisch,logically
daardoor,thereby
controleer,check
stroom,current
afscheid,goodbye
gevangenen,prison
saai,boring
Marcus,Marcus
militaire,military
opgewonden,thrilled
makkelijker,easier
zuid,south
stenen,stone
lieg,lie
wc,WC
herinneringen,memories
badkamer,bathroom
vuren,fire
fuck,fuck
cadeau,gift
dertig,thirty
verantwoordelijkheid,responsibility
flink,considerable
biertje,beer
officieel,officially
tegenwoordig,nowadays
belang,interest
ronde,round
redenen,reasons
opgeven,giving up
Frankrijk,France
schreeuwen,shout
eenvoudig,simple
gekeken,looked
kerst,Christmas
aanraken,touch
genieten,to enjoy
ontslag,dismissal
verslagen,defeated
opgesloten,locked up
groen,green
heette,was called
graf,grave
bond,union
high,high
stand,stand
aardige,nicely
raden,boards
vinger,finger
bomen,trees
helikopter,helicopter
manager,manager
vrolijk,Merry
Dean,Dean
zicht,view
slaapkamer,bedroom
verbrand,burnt
rekenen,to calculate
kust,coast
race,race
leraar,teacher
zonde,shame
stof,dust
pot,pot
eieren,Eggs
verdedigen,to defend
kanker,cancer
wellicht,perhaps
gedronken,drunk
daarheen,there
herken,to recognise
gas,gas
knieën,knees
ontdekken,to discover
bedoeld,meant
verbonden,connected
smaak,taste
job,Job
reactie,response
bescherming,protection
bevelen,command
vervangen,to replace
huh,huh
tellen,to count
mogelijkheid,possibility
moeilijke,difficult
Nathan,Nathan
achterlaten,leave behind
voorstel,proposal
afspraakje,date
Angeles,Angeles
vlieg,fly
dekking,coverage
wed,waving
ho,hor
pillen,pills
Europa,Europe
wetenschap,science
naakt,naked
pauze,pause
vrees,fear
schrijft,writes
waarde,where the
priester,priest
natuur,nature
pik,cock
binnenkomen,enter
detective,detective
gerust,restless
maandag,Monday
volledige,sufficient
beer,bear
meerdere,multiple
heks,witch
assistent,assistant
eeuw,century
toegeven,to admit
spring,jump
verhuizen,to move house
vermoordde,killed
verstoppen,to hide
brood,bread
bemanning,crew
troepen,troop
zwijg,be silent
zondag,Sunday
dienen,serve
Rose,Rose
Roger,Roger
opgenomen,Hospitalized
oosten,East
gescheiden,divorced
plus,plus
ademen,to breathe
aanbod,offer
wensen,to wish
doei,bye
gekend,known
aanbieden,offer
politiek,politics
Russische,Russian
Morgan,Morgan
genade,grace
gewend,accustomed
internet,internet
buren,neighbors
opgelost,dissolved
pizza,Pizza
dek,deck
grijp,grab
eenzaam,lonely
vervelend,annoying
leugens,lies
erheen,there
keizer,emperor
verslag,report
wild,wild
telt,counts
nachtmerrie,nightmare
horloge,watch
staten,states
bewerkt,edited
vals,false
bezoeken,visits
leert,learns
min,minus
seconde,second
aanwezig,present
interesseert,interested
meent,believes
streek,region
beweegt,Moves
feiten,facts
burgers,citizens
waarheen,where to
hierin,in here
interesse,interest
eindigen,end
patiënten,patient
schrikken,to startle
buik,belly
stront,shit
regen,rain
technologie,technology
rechten,right
muren,walls
chauffeur,driver
noord,north
garage,garage
netjes,correctly
terrein,grounds
lekkere,tasty
olie,oil
klap,hole
date,date
graven,to dig
nationale,national
voorbeeld,sample
besluit,decision
hang,halt
herhaal,repeat
champagne,Champagne
oceaan,ocean
geur,odor
zelfde,same
groeten,regards
verandering,change
ruiken,to smell
vierde,fourth
waarschuwen,warn
verdien,earn
bord,plate
ambulance,ambulance
neerschieten,shoot down
spiegel,mirror
hersens,brain
momenteel,currently
dubbele,double
omstandigheden,circumstances
melden,report
sync,sync
tegelijk,at the same time
knappe,cleverly
woede,fury
leefde,lived
nat,wet
jury,jury
groeien,to grow
wezens,beings
russen,Russians
morgenochtend,tomorrow morning
wegens,due to
kampioen,champion
loog,lye
accepteren,accept
studeren,to study
behandeld,treated
tieten,tits
ernaar,to it
stopte,stopped
vormen,to shape
grotere,greater
gedag,goodbye
kist,chest
ruil,exchange
engel,angel
Edward,Edward
gods,God
bril,glasses
keel,throat
lef,gut
ervandoor,run
lichten,lights
medelijden,pity
tel,count
rijke,rich
tunnel,tunnel
haten,hate
afgesloten,locked
opzoeken,to look up
hal,hall
terugkomt,returns
slimme,smart
wedden,bet
lichamen,bodies
handel,trade
huizen,houses
dief,thief
moordenaars,murderers
hoogheid,highness
poging,attempt
Jesse,Jesse
materiaal,material
toestand,status
amper,barely
voorlopig,for the time being
veilige,safe
verloofde,fiancé
daarin,in there
slet,slut
Texas,Texas
oefenen,to practice
Franse,French
woonde,lived
prettige,pleasant
voordeel,benefit
eindigt,ends
vliegt,flies
verdediging,defense
vanochtend,this morning
zielig,pathetic
Wilson,Wilson
woestijn,desert
apparaat,device
rat,rat
kocht,bought
lossen,unload
diner,dinner
cliënt,client
feite,feite
verkoopt,sells
idioten,idiots
komende,up
plegen,commit
kaartje,card
-ste,-ste
dier,animal
waarschuwing,warning
verbinding,link
dichter,poet
wijze,wise
pensioen,pension
Afrika,Africa
winnaar,winner
drinkt,drinks
scheelt,saves
doodde,kill
lieten,let
smerig,filthy
bewakers,guards
klok,clock
oor,ear
verzet,resists
stijl,style
richten,to target
invloed,influence
opgepakt,picked up
mogelijke,possible
spelletjes,games
kerstman,Santa Claus
markt,market
bewaren,keep
brieven,letters
studenten,students
varken,pig
komst,arrival
lelijk,ugly
centrum,Centre
vijftien,fifteen
kaas,cheese
genie,genius
valse,false
donkere,dark
huur,rent
VS,US
verdween,disappeared
overtuigd,convinced
aangezien,as
cijfers,Numbers
overwinning,victory
behandeling,therapy
belofte,promise
bekeken,Viewed
breekt,breaks
jarige,year old
training,training
artikel,article
stelletje,bunch of
kloppen,to beat
maakten,made
verrast,surprised
beroep,profession
honderden,hundreds
zette,set
waardeloos,worthless
rechtbank,court
Robin,Robin
wijzen,point
vingerafdrukken,fingerprints
bleek,pale
maagd,virgin
camera's,cameras
China,China
personeel,staff
minstens,at least
schitterend,splendid
diegene,hey
starten,start
geheel,whole
jeugd,youth
berichten,messages
mensheid,humanity
gepland,planned
ramp,disaster
onderwerp,topic
Californië,California
zwembad,swimming pool
explosie,explosion
ha,ha
duurde,lasted
noch,nor
sliep,slept
redelijk,reasonable
excuus,excuse
moge,may
smeek,grubbing
geintje,joke
pen,pen
terroristen,terrorists
boerderij,farm
belangrijker,more important
burger,civilian
doodt,kills
overtuigen,convince
nep,fake
diamanten,diamonds
aap,monkey
ophangen,hang up
verderop,beyond
jacht,hunt
masker,mask
mars,Mars
onthouden,remember
kleding,clothing
schaduw,shadow
overkomt,happens
bovendien,moreover
Duitse,German
fearless,fearless
walgelijk,disgusting
amen,Amen
richt,steering
dwars,thwarted
vriendschap,friendship
7Up,7UP
slang,snake
gouverneur,governor
touw,rope
onthoud,keep in mind
daarbij,thereby
zand,sand
plicht,duty
trok,pulled
wegkomt,gets away
onschuldige,innocent
collega,co-worker
onszelf,ourselves
voorbereid,prepared
haalde,gathered
Greg,Greeg
verwijderd,deleted
veranderde,changed
gunst,favor
okee,okay
leden,members
wassen,Wash
win,win
gepleegd,committed
snijden,to cut
Frans,French
reputatie,reputation
teleurgesteld,disappointed
letten,look
uniform,uniform
verklaren,explain
monsters,samples
fan,fan
bruid,bride
overheid,government
enterprise,enterprise
gewaarschuwd,warned
daarbuiten,beyond
daarover,about that
leest,is reading
gezondheid,health
geliefde,lover
ontmoeting,meeting
stinkt,smelly
uiteraard,naturally
makker,companion
vanmiddag,this afternoon
aangekomen,arrived
meedoen,participate
minst,least
maag,stomach
route,route
omgaan,To hang out
hoogste,high
verrader,traitor
indrukwekkend,impressive
mogelijkheden,possibilities
Helen,Heal
gebaseerd,based
Nederlandse,Dutch
verschuldigd,owed
lever,liver
scheiden,divorce
sprong,plunge
daarbinnen,inside
wolf,Wolf
whisky,whiskey
lady,lady
live,live
voldoende,Enough
onderzocht,examined
universum,universe
ontzettend,horrible
gevochten,fought
Marshall,Marshall
pop,dolly
lijf,body
douche,shower
hieruit,from here
junior,junior
golf,golf
Amerikaan,American
kut,cunt
model,fashion model
geldt,applies
seizoen,season
omlaag,down
nummers,numbers
trainen,train
mijl,mile
jongeman,young man
welnee,no
broertje,baby brother
marine,navy
pakte,grabbed
wandelen,to walk
herstellen,to recover
robot,robot
ongerust,worried
vijftig,fifty
gegooid,thrown
duisternis,darkness
jochie,kid
hi,Hi
hekel,dislike
doodgaan,die
Cole,Cole
briefje,note
tweeën,two
achteren,back
getekend,signed
vlakbij,near
prettig,pleasant
teef,female dog
schoten,shot
eisen,to demand
schrijver,writer
knop,knob
sigaret,cigarette
smerige,filthy
reageren,react
vloek,curse
achterna,after
legende,legend
stonden,stood
ai,ai
banden,ties
branden,to burn
aangenomen,accepted
nul,zero
borsten,breast
Miles,Miles
hierover,here
bovenop,on top of
vampier,vampire
overeenkomst,agreement
brave,good
optreden,performance
brak,broke
gesteld,faulty
vuil,filthy
dinsdag,Tuesday
vergat,forgotten
verenigde,United
verdriet,sorrow
vijfde,fifth
Berlijn,Berlin
vieze,dirty
bezorgen,deliver
teruggaan,going back
straten,streets
lippen,lip
overleefd,surviving
gelukkige,happy
breek,break
constant,constantly
scherp,sharp
proost,cheers
hoefde,needed
april,April
ellende,trouble
sigaretten,cigarettes
vogels,birds
overval,raid
spion,spy
tank,tank
d'r,d'r
datje,that you
benzine,petrol
Duitsers,Germans
zwijgen,silence
cheque,check
kasteel,castle
begreep,understood
verplaatsen,move
stelde,suggest
durft,dares
dossiers,files
winst,gain
mammie,mommy
gewild,wanted
lig,lying
godzijdank,thank God
kansen,chances
concentreren,to concentrate
lege,empty
vertrouwt,trust
verdacht,suspicious
goedenacht,good night
allerlei,all kinds of
Chinees,Chinese
roept,calls
weggaat,leave
kleed,dress
bevrijden,to free
merken,brands
Derek,The stretch
haven,port
plekken,spots
gelopen,walked
verwachtte,expected
fabriek,factory
ontspannen,relaxed
beweeg,move
stal,stable
maling,grinding
verdwaald,strayed
donderdag,Thursday
doorlopen,run through
advocaten,lawyers
kamers,Rooms
verzamelen,collect
daarop,thereon
duwen,Push
Boston,Boston
sport,sport
onbekende,unknown
onderhandelen,negotiate
smeris,score
opeten,eat
waarschuw,warn
weggegaan,gone away
zijne,his
museum,museum
geschenk,gift
vertrok,departure
puur,pure
eventjes,momentarily
voort,ahead
meegaan,go along
Gordon,Gordon
beroemd,famous
gemeenschap,community
gevaarlijke,dangerous
iemands,someone's
briljant,brilliant
koude,cold
snelle,fast
alcohol,alcohol
achterin,in the back
collega's,colleagues
broeders,brothers
gezellig,cosy
herinnering,reminder
koninkrijk,kingdom
bewaker,guardian
bommen,bomb
koos,koos
lunchen,having lunch
dringend,urgently
verliet,left
Florida,Florida
bravo,Bravo
lading,cargo
Lincoln,Lincoln
middernacht,midnight
handelen,to trade
terugtrekken,to withdraw
bepalen,determine
illegaal,illegal
verander,change
geweren,guns
samenwerken,to collaborate
partij,side
levende,living
botten,bone
brein,brain
leid,lead
groots,grand
grot,cave
volgend,next
zacht,soft
volkomen,completely
klasse,class
zone,zone
mannetje,male
rand,edge
bied,bidding
smeerlap,bastard
handtekening,signature
wauw,Wow
namelijk,namely
beters,better
kerstfeest,Christmas
bedreiging,threat
betekend,means
centrale,central
vet,Fat
gedwongen,forced
meld,report
ogenblik,moment
Maggie,Maggia
plotseling,suddenly
s avonds,in the evening
zijde,silk
lied,song
gooide,threw
stoor,interference
besloot,decided
nieuwsgierig,curious
dapper,brave
fantastische,fantastic
kalmeer,calm down
kanten,lace
allang,a long time already
leveren,to deliver
gsm,mobile
magische,magical
ontslaan,fire
lafaard,coward
Sophie,Sophie
hek,fence
hout,wood
truc,trick
bereik,reach
negatief,negative
huiswerk,Homework
machines,machines
opruimen,tidy
klonk,sounded
Hollywood,Hollywood
schande,shame
gezorgd,arranged
bewust,consciously
daaraan,there
plassen,to pee
toren,tower
pakje,package
storen,to disturb
merk,Brand
koopt,buys
as,ash
verdwijn,disappear
expert,expert
Parker,Parker
partners,partners
lokale,local
spannend,exciting
hebbes,Got you
angel,angel
verdiende,deserved
beantwoorden,reply
metro,subway
besef,realize
mankeert,mank
opname,intake
goeds,good
aanklacht,indictment
suiker,sugar
openbaar,public
crimineel,criminal
uitzien,look
soep,soup
gericht,targeted
kruis,crotch
effect,effect
helder,bright
identiteit,identity
bedenk,recall
aanwezigheid,presence
scherm,screen
winter,winter
dokters,doctors
droog,dry
sprake,talk
Chinese,Chinese
mail,mail
veroordeeld,convicted
Caesar,Caesar
ingang,Entrance
middag,afternoon
hartstikke,terribly
Connor,Connor
smaakt,tastes
danken,thank
kaartjes,tickets
kiest,chooses
wetten,law
velen,many
verklaart,explains
televisie,television
rijd,drive
Cooper,Shard
romantisch,romantic
ramen,Windows
verraad,treason
zegen,blessing
vies,dirty
munitie,ammunition
hete,hot
voer,feed
klagen,complain
vriendinnen,girlfriends
wijst,wage
bibliotheek,library
ondertussen,meanwhile
bevestigd,confirmed
verdwijnt,disappears
draak,dragon
gevoeld,felt
snelweg,motorway
ingewikkeld,complicated
bedrijven,businesses
gedurende,during
hut,hut
nicht,niece
plat,flat
hielden,kept
verwijderen,remove
vliegtuigen,airplanes
speelgoed,toys
ofwel,either
negeren,ignore
uitzicht,view
jeetje,Oh dear
beloven,promise
gecontroleerd,controlled
demon,demon
gedraag,behave
gooit,throws
wegen,weigh
graaf,count
roze,pink
realiteit,reality
check,check
Lets,Litry
gewicht,weight
attentie,attention
warme,warm
pest,plague
beloning,reward
eenheden,units
opleiding,education
snij,cut
Gibbs,Gibbs
volgde,follow the
busje,van
watje,wimp
vergist,mistaken
middelbare,middle
moeilijker,more difficult
opgegeven,gave up
ontdekte,discover
schouder,shoulder
ras,breed
zekerheid,security
resultaat,result
geschikt,fit
psychiater,psychiatrist
ontspan,relax
zekere,certain
instructies,instructions
scène,scene
dagboek,diary
daarboven,up there
gevoelig,sensitive
overkant,other side
interessante,interesting
beesten,animals
organisatie,organization
bekende,known person
penis,penis
student,student
tovenaar,wizard
commando,command
fort,fort
tranen,tears
gelegd,laid
verstandig,wise
verdachten,suspect
mijzelf,myself
lacht,laugh
voorgoed,forever
uitgeschakeld,turned off
blazen,blow
verpesten,screw it up
beet,bite
geraken,get
meekomen,come along
hartaanval,heart attack
schoft,bastard
politieke,political
repareren,to repair
bierdopje,beer cap
veroorzaken,cause
zusje,sister
Linda,Linda
at,ate
herkennen,recognise
koekjes,cookies
schakel,link
personen,persons
staart,tail
optie,option
beschermd,protected
schutter,shooter
lelijke,ugly
oost,eastern
gok,gamble
heleboel,a lot
geopend,open
admiraal,admiral
stress,stress
teams,teams
eeuwen,centuries
resultaten,Results
vaste,fixed
geboorte,birth
bevestigen,to confirm
drukken,to press
Britse,British
feesten,celebrate
gevolgen,effects
vers,fresh
Duitsland,Germany
beloofde,promised
degenen,the ones
helden,heroes
little,little
uitziet,looks
sneeuw,snow
jungle,jungle
geruchten,rumor
proef,trial
baby's,babies
middel,resourse
Vietnam,Vietnam
gezichten,faces
Angela,Angela
kopie,copy
releases,releases
slagen,to succeed
flikker,flicker
aanslag,scale
jedi,Jedi
steunen,supports
momenten,moments
klere,crek
flauw,lame
won,won
schild,shield
pijnlijk,painful
chocolade,chocolate
football,football
namens,On behalf of
waarbij,whereby
scheiding,parting
gras,grass
trappen,kick
steven,steven
bijbel,Bible
uitgaan,going out
verbranden,to burn
houding,attitude
verontschuldigen,to apologize
legt,lays
hoorden,heard
speler,player
uitgang,Exit
verstaan,to hear
chip,chip
schudden,shake
vlag,flag
steekt,sticks
bewusteloos,unconscious
NS,Dutch Railways
bewezen,proven
communicatie,communication
tape,tape
commissaris,Commissioner
gereden,driven
voorzitter,chair
soorten,types
technisch,technical
families,families
gedroomd,dreamed
pech,bad luck
dubbel,double
sindsdien,since
telefoontjes,phone calls
afschuwelijk,awful
uitweg,out
therapie,therapy
simpele,simple
rommel,rumbling
chief,chief
fiets,bicycle
kennelijk,apparently
beschikbaar,available
wanhopig,in despair
jarig,birthday
bescherm,protected
chaos,chaos
raket,rocket ship
ei,egg
gewoonlijk,usually
uitschakelen,Switch off
erdoor,through
hof,court
hm,hm
echter,however
onbekend,unknown
opgegroeid,grown up
vat,barrel
verbaasd,suprised
wei,whey
nood,need
humor,Humour
zuurstof,oxygen
vleugels,wings
San Francisco,San Francisco
slechter,worse
vertrouwde,trusted
betaalde,paid
dwaas,foolish
positief,positive
beroemde,famous
joden,Jew
rotzak,bang
aanpakken,tackle
maal,meal
boy,boy
mm,mm
schedel,skull
dochters,daughters
verspreiden,to spread
weglopen,walk away
vriendjes,friends
bezwaar,objection
kranten,newspapers
aangeraakt,touched
proeven,taste
dwingen,force
Potter,Potter
geleid,led
fantasie,fantasy
verkracht,rap
overvallen,raids
zing,sing
overgeven,throwing up
Charlotte,Charlotte
schema,scheme
boeten,bow
dodelijk,deadly
Davis,Davis
stabiel,stable
afhandelen,handle
Engelse,English
schilderij,painting
podium,stage
loslaten,letting go
krankzinnig,insane
onderdeel,element
bewaar,keep
excuseren,excuse
morgenavond,tomorrow evening
medicijn,medicine
mamma,mamma
oudere,older
moeilijkheden,difficulties
praatte,talks
ratten,rats
interview,interview
boodschappen,groceries
noodgeval,emergency
rekeningen,accounts
Japan,Japan
telkens,every time
schop,shovel
fase,phase
café,Cafe
gerechtigheid,justice
onlangs,recently
serie,series
hufter,bastard
gewonden,wounded
vermogen,power
vrachtwagen,truck
vocht,moisture
seksuele,sexual
uitdaging,challenge 
joch,kid
bid,prayer
zieke,sick
Amerikaans,American
reageert,responds
Palmer,Palmer
wiet,weed
theater,theater
hoofdpijn,headache
kanaal,channel
versta,understand
status,status
netwerk,network
vanzelf,of course
oorzaak,cause
verlegen,shy
doctor,doctor
wond,wound
acteur,actor
hartslag,heartbeat
gedraagt,behave
grenzen,border
opdagen,show up
tekst,text
tevoorschijn,appear
uitnodiging,invitation
zowel,both
out of the blue,out of the blue
bezet,occupied
letterlijk,literal
promotie,promotion
Donna,Donna
huidige,current
ketting,chain
anti,anti
mooier,more beautiful
avontuur,adventure
verbaast,surprised
filmen,to film
moedig,brave
pols,wrist
leuker,nicer
geplaatst,placed
heten,to be named
vak,field
tempel,Temple
besteld,ordered
redde,rescue
meegebracht,brought along
Dennis,Dennis
overste,superior
doorbrengen,Spending time
rende,ran
spoedig,rapidly
stemming,mood
grootvader,grandfather
bodem,soil
miste,missing
ambassadeur,ambassador
Ethan,Ethan
betwijfel,doubt
titel,title
Rusland,Russia
verschrikkelijke,terrible
motel,motel
schaam,shame
vóór,in front of
probeerden,tried
medisch,medical
overheen,across
schilden,shield
beschermt,protected
versterking,strengthening
ridder,knight
experiment,experiment
vloot,fleet
veroorloven,to afford
versie,version
bewaking,monitoring
bijzonders,special
levert,supplies
grijpen,grab
lagen,lay
Logan,Logan
achterkant,rear end
das,tie
tip,tip
bijten,to bite
afsluiten,shut down
gekwetst,hurt
trekker,tractor
Aaron,Aaron
daad,deed
justitie,justice
go,go
gekost,cost
september,September
blaas,bladder
stak,stuck
triest,sad
beslissingen,decisions
miljard,billion
gestoken,stung
bijzondere,special
koorts,a fever
geneukt,fucked
vooruitgang,progress
bot,bone
teruggekomen,came back
oefening,excercise
Irak,Iraq
zoenen,kiss
zwakke,weak
make-up,makeup
dorst,thirst
gemak,ease
tijdelijk,temporary
Ellie,Ellie
behoefte,need
media,media
casino,casino
correct,correct
zenuwachtig,nervous
spanning,tension
strak,tight
aantrekkelijk,appealing
rijbewijs,drivers license
leerling,pupil
steden,towns
ministerie,ministry
meende,believed
cowboy,cowboy
opgegeten,eaten
aanwijzingen,Clues
kloten,loser
vice-,vice
