Dutch,English
laden,load
jee,jee
waarderen,appreciate
minste,least
Collins,Collins
klinken,sound
stukjes,pieces
maaltijd,meal
relaties,relationships
omdraaien,turn around
gelegenheid,occasion
beschadigd,damaged
dollars,dollars
uitmaken,to finish
eigendom,property
sociale,social
aanwijzing,instructions
rechtstreeks,directly
verdrietig,sad
daden,deeds
ontworpen,designed
zender,transmitter
beantwoord,answered
bagage,luggage
overleeft,surviving
schone,prawn
hierbij,hereby
emoties,emotions
weghalen,remove
verkeer,traffic
rit,ride
paspoort,passport
verzekering,insurance
vandaar,there
jongetje,boy
waanzin,madness
bestellen,to order
mobiel,mobile
vrouwelijke,female
doof,deaf
werkelijkheid,reality
zusters,sisters
ruilen,exchange
kopje,Cup
Todd,Todd
Olivia,Olivia
inclusief,including
gif,poison
verzinnen,invent
satelliet,satellite
betekenis,meaning
motoren,engines
aard,earth
paleis,palace
hoeren,whore
wachtte,waiting
bewijst,proves
vullen,to fill
slimmer,smarter
ondergoed,underwear
uitvoeren,to carry out
overnemen,taking over
uitkomen,Hatch
Jessica,Jessica
hoofdkwartier,headquarters
goedemiddag,good afternoon
computers,computers
getraind,trained
rollen,roll
leidde,led
longen,lung
shuttle,shuttle
duiken,to dive
it,IT
scan,scan
tenslotte,and last but not least
dure,expensive
middelen,resources
oh my god,Oh my God
raketten,missiles
bewustzijn,Awareness
Hitler,Hitler
stok,stick
betrapt,got caught
Walker,Walker
brandt,burns
datum,date
wijf,female
zielen,soul
kreng,bitch
ogenblikje,just a moment
morgenvroeg,tomorrow early
federale,federal
opgeblazen,blown up
halt,halt
gele,yellow
woensdag,Wednesday
mobiele,mobile
eerlijke,fair
ingehuurd,hired
mulder,mulder
geladen,charged
biedt,offers
bijt,bite
koe,cow
etentje,dinner
bijeenkomst,meeting
katten,cats
vrijen,making out
kwart,quarter
coma,coma
concentreer,concentrate
snappen,understanding
link,link
aanklager,prosecutor
braaf,Well behaved
veiliger,safer
beheersen,control
buitenlandse,foreign
plant,plant
vloog,flew
Miami,Miami
Sydney,Sydney
slaaf,slave
nl.,NL.
slaven,slave
zeep,soap
bloeden,bleed
spelers,players
arresteer,arrest
sector,sector
coördinaten,coordinates
overeen,correspondence
zout,salt
ofzo,or so
kleiner,smaller
traditie,tradition
konijn,rabbit
symbool,symbol
ondervragen,question
creëren,to create
afgewezen,turned down
politieagent,policeman
borg,deposit
zorgde,took care
documenten,documents
voorzien,to provide
Grant,Grant
vervolgens,thereafter
kliniek,clinic
vergeleken,compared
vredesnaam,peace
oppakken,picking up
vroegen,asked
defensie,defence
info,info
cadeautje,gift
kwade,evil
eeuwige,eternal
flinke,good
staren,stare
combinatie,combination
opblazen,to blow up
zoektocht,quest
gedumpt,dumped
s morgens,in the morning
terugkeren,return
discussie,discussion
heuvel,hill
avenue,avenue
nut,usefulness
lust,lust
patroon,cartridge
bestemming,destination
dient,must
verzonnen,fictional
wegging,was removed
Kirk,Kirk
turner,gymnast
gespannen,stretched
besefte,realized
bloeddruk,blood pressure
bevindt,in
nachten,night
stervende,dying
beleefd,polite
neuk,fuck
hol,hollow
oordeel,judgement
ontploffen,explode
eerwaarde,honor
knie,knee
Nina,Nina
buitenaardse,alien
lieveling,Darling
demonen,demons
studio,studio
lawaai,noise
gehele,whole
verplaatst,moved
waag,waard
college,college
pagina,page
passie,passion
mietje,sissy
Oliver,Oliver
verspillen,waste
lessen,classes
zonden,sin
techniek,Technic
relax,relaxed
cirkel,circle
gebeten,bitten
natuurlijke,natural
veronderstel,assumption
applaus,applause
schoonmaken,to clean
kooi,cage
doodsbang,terrified
India,India
riskeren,risk
brandstof,fuel
veertig,forty
voeden,to feed
betekende,meant
grazen,graze
haatte,hate
gewapend,armed
pure,pure
verrot,rotten
planten,plants
droomde,dream
eikels,acorns
vrijgelaten,released
bloem,flower
wreed,cruel
groeit,grows
wall,Wall
gebeurtenissen,events
beslag,seizure
voortaan,from now on
gemerkt,marked
achtergrond,background
keuzes,choices
oproep,call
Willie,Willie
goedendag,good day
bemoei,excuse
wetenschapper,scientist
kok,cook
pikken,peck
toestel,aircraft
afval,waste
Santa,Santa
criminelen,criminals
daag,bye
naaien,sew
verpleegster,nurse
rots,rock
terugbrengen,return
crisis,crisis
uzelf,yourself
genaaid,sewn
Veronica,Veronica
herkent,recognize
jonger,younger
um,um
realiseerde,realized
journalist,journalist
risico's,risks
voertuig,vehicle
overlevenden,survivors
karakter,character
besmet,contaminated
Diego,Diego
loon,salary
trouwt,gets married
machtige,mighty
volhouden,to persevere
online,online
long,lung
identificeren,identify
oudste,eldest
Ned,Ned
pan,pan
augustus,August
starfleet,starfleet
centimeter,centimeter
explosieven,explosives
greep,grip
staf,staff
duistere,dark
toppers,toppers
gokken,gamble
gekleed,dressed
Mason,Mason
county,County
monica,Monica
studie,study
bevrijd,liberated
wii,Wii
neger,negro
zenuwen,nerve
gereedschap,tools
pissen,piss
juni,June
in no time,in no time
mei,May
wonden,wound
doodgeschoten,shot
commentaar,commentary
periode,period of time
inpakken,packing up
temperatuur,temperature
verplicht,obliged
uitslag,result
frisse,fresh
langskomen,come
plastic,plastic
verspreid,Scattered
goedkoop,cheap
tweeling,twin
sectie,section
procedure,procedure
duw,push
actief,active
boze,venomous
jasje,jacket
ongelukkig,unhappy
koelkast,refridgerator
infectie,infection
behouden,preserve
profiel,profile
schulden,debt
aandelen,shares
riep,called out
riem,Belt
echo,echo
huil,cry
schreeuw,shout
logboek,log
laarzen,boots
glazen,glass
schamen,embarrass
tof,cool
favoriet,favorite
apart,separate
gijzelaars,hostage
gefaald,failed
Victoria,Victoria
emotioneel,emotional
kwijtgeraakt,lost
motief,motive
militair,military
Curtis,Curtis
voorbereiden,to prepare
schuur,barn
portemonnee,wallet
wiskunde,math
snoep,sweets
stevig,firm
privacy,privacy
service,service
accepteer,accept
populair,popular
koninklijke,royal
kindje,baby
benieuwd,curious
verzeker,insure
senaat,Senate
Sid,Sid
winkelen,shop
voorgesteld,suggested
Manhattan,Manhattan
internationale,International
juli,July
ervaren,experienced
weigeren,to refuse
rob,Rob
hoofdstuk,chapter
toegestaan,Allowed
toestaan,allow
naderen,approach
openbare,public
steelt,steal
heerlijke,lovely
doorgeven,pass along
incident,incident
douchen,shower
all-in-one,all-in-one
bedreigd,threatened
reeds,already
Duke,Duke
geleefd,lived
kleintje,Shorty
noemden,called
oktober,October
geslaagd,passed
Führer,Führer
heroïne,heroin
verloofd,engaged
opzet,set -up
misdaden,crimes
delta,delta
star,rigid
vervloekt,accursed
achteraan,at the back
verbergt,hidden
gestoorde,disturbed
passagiers,passengers
heelal,universe
bloedt,bleeding
gestraft,punished
Virginia,Virginia
versieren,decorate
verwoest,destroyed
zowat,just about
gesprekken,conversations
schei,crack
porno,porn
bevat,contains
daarnet,just like that
pijp,pipe
begaan,to commit
verbind,connect
uiterlijk,appearance
ontvoering,abduction
aangeven,to indicate
schoen,shoe
verstop,hidden
Island,Island
klimmen,to climb
contant,in cash
varen,sail
set,set
opgehangen,hung up
bedrag,amount
knuffel,Hug
aangeboden,offered
verknald,upset
kostte,cost
jager,Hunter
glimlach,smile
love,love
sukkels,losers
blank,White
McGee,McGee
overeind,upright
Russell,Russell
beurs,stock market
onzichtbaar,invisible
kandidaat,candidate
beroofd,robust
uitgevoerd,executed
ton,tons
voetbal,football
dekken,cover
diepe,deep
dominee,pastor
leeuw,lion
dieper,deeper
Jill,Jill
fortuin,fortune
inzetten,Bet
zweet,sweat
Gina,Gina
gewoonte,habit
gebouwen,buildings
Frodo,Frodo
gebrek,lack
bekennen,confess
durven,to dare
Justin,Justin
opzetten,Setting up
zonen,sons
toont,shows
huren,hire
gevuld,stuffed up
schoppen,kick
geniaal,genial
officiële,official
indien,in the event that
Japanse,Japanese
Harvard,Harvard
erbuiten,out
mekaar,eachother
blok,block
tja,well
stierven,died
pijpen,blowjob
brigadier,brigadier
kwartier,quarter
interne,internal
wennen,get used to
inzet,effort
mariniers,Marines
plekje,spot
meesten,most
beseft,realize
vielen,fell
waaraan,to which
verward,confused
kleuren,colors
mysterie,mystery
federatie,federation
campagne,campaign
verlangen,desire
knal,pop
aankomt,arrives
behandelt,treats
systemen,systems
ernstige,severe
circus,circus
voordeur,front door
rechtszaak,lawsuit
maffia,mafia
recept,recipe
grapjes,jokes
boeren,farmers
Travis,Traveler
lente,spring
toekomstige,future
verblijf,residence
moderne,modern
piano,piano
terrorist,terrorist
nuttig,useful
zaal,room
vette,greasy
afgemaakt,finished
opgevoed,raised
overstuur,upset
beweert,claims
bevriend,friendly
belangrijks,important
geactiveerd,activated
draaide,rotated
verklaar,explain
ezel,donkey
tandarts,dentist
chirurg,surgeon
ontkennen,to deny
fruit,fruit
allemachtig,good Lord
speech,speech
misverstand,misunderstanding
vermijden,to avoid
paradijs,paradise
Spaans,Spanish
bewaard,preserved
behoort,belongs
Sheldon,Sheldon
exact,exactly
afdrukken,print
getrokken,drawn
slechtste,worst
zingt,sings
lijdt,suffer
megan,Megan
uitgeput,exhausted
Burke,Burke
engelen,angel
drama,drama
mochten,allowed
Canada,Canada
beledigd,insulted
lage,low
dozen,Boxes
uniek,unique
bruin,brown
dronk,drank
vermiste,missing
tegenstander,opponent
bronnen,sources
wegkomen,getting away
beschuldigd,accused
kroon,Crown
Lana,Lana
Ronnie,Ronnie
veranderingen,changes
ruimen,strike
commissie,Commission
Miami Beach,Miami Beach
fans,fans
leerlingen,pupils
straal,Ray
bleven,continued
cellen,cell
goeiemorgen,Good morning
bukken,stoop
machtig,powerful
ontploft,explodes
minuutje,minute
kostuum,costume
borrel,a drink
misselijk,nauseous
weleens,sometimes
klop,pat
concert,concert
ritje,ride
artsen,doctors
juwelen,jewellery
bliksem,lightning
verhuisd,moved
Spanje,Spain
ambassade,embassy
script,script
luisterde,listened
levenslang,lifetime
opening,opening
regent,is raining
symptomen,symptoms
hitte,heat
opent,opens
gemene,unemployed
handig,useful
lamp,lamp
s ochtends,in the morning
officieren,officers
boer,farmer
reclame,commercial break
ooh,ooh
opwindend,exciting
bedrogen,cheated
straling,radiation
hup,huck
alpha,Alpha
indianen,native Americans
geluisterd,listened
dadelijk,immediately
kern,core
spijtig,regrettably
krachtig,powerful
gerucht,rumor
financiële,financial
langzamer,slower
uitkomt,comes out
wenst,wish
arrestatie,arrest
robots,robots
enge,scary
Tess,Tess
bevallen,to give birth
operaties,operations
kwetsen,hurt
diefstal,theft
dieven,thieves
ontwikkeld,developed
goedkope,cheap
klaarmaken,prepare
smeken,to beg
paus,Pope
straffen,to punish
schut,fantastic
voorwaarden,requirements
asjeblieft,please
bestond,existed
brachten,brought
nadert,approaches
glorie,glory
overdag,during the day
telefoonnummer,phone number
doorgaat,continues
omgekomen,died
bestuur,management
auditie,audition
lager,lower
gekken,fool
bood,bidding
begrip,concept
generatie,generation
wetenschappers,scientists
ademt,breathe
eenzame,lonely
beu,sick of
Stephen,Stephen
trouwde,married
opties,option
hogere,higher
hing,hung
hakken,Heels
tekort,shortage
doorzoeken,search
handschoenen,gloves
draad,wire
bingo,bingo
air,air
diensten,services
helm,helmet
eed,oath
timing,timing
instappen,to get in
korporaal,corporal
pappie,daddy
complete,complete
bijeen,together
uitgevonden,invented
district,district
leiders,leaders
speciaals,specialty
lokken,to lure
congres,Congress
blinde,blind
uitstappen,to get off
compagnie,company
overleed,passed
totale,total
stoute,naughty
baard,beard
Thanksgiving,Thanksgiving
standaard,standard
Halloween,Halloween
kou,cold
haren,hair
schakelen,to change gear
nachtmerries,nightmares
jongedame,young lady
gezegend,blessed
Fransen,French
mazzel,luck
legaal,legal
falen,to fail
dog,dog
Bourne,Bourne
coke,coke
serieuze,serious
transport,transport
tenen,toes
Houston,Houston
salaris,salary
per se,necessarily
offer,quotation
knopen,knot
Gloria,Gloria
respecteren,to respect
kwetsbaar,vulnerable
nucleaire,nuclear
freak,freak
slaag,cad
bevroren,frozen
herkende,recognized
innemen,to take
veertien,fourteen
zochten,sought
bedank,thank
achtervolgen,Chase
vergunning,permit
gij,you
menigte,crowd
herhalen,to repeat
Italië,Italy
stille,quiet
Brooklyn,Brooklyn
plaat,plate
regelt,arranges
autoriteiten,authorities
intelligent,intelligent
jood,Jew
gebeden,pray
apen,apes
weigert,refuses
beroven,to rob
blanken,whites
modder,mud
gewapende,armed
goedmaken,make up
vampiers,vampires
schuilplaats,hideout
bewaken,to guard
verbazingwekkend,astonishing
verf,paint
Jamal,Jamal
tijger,Tiger
mode,fashion
volwassenen,adults
overdreven,overdone
Shane,Shane
woning,home
agenda,agenda
opsluiten,lock up
drankjes,drinks
doorstaan,to endure
telefoons,Phones
kick,kick
Meredith,Meredith
lesje,lesson
diamant,diamond
stapt,steps
maatschappij,society
pet,cap
gids,guide
ticket,ticket
delict,crime
schouders,shoulders
revolutie,revolution
verslaafd,addicted
cultuur,culture
besproken,discussed
gene,gene
revolver,revolver
prijzen,Prices
geland,landed
staal,steel
sms,text message
broodje,sandwich
Trevor,Trevor
afspreken,to agree
metaal,metal
teruggeven,return
gesneden,cut
Shrek,Shrek
getroffen,affected
undercover,undercover
bossen,forest
haak,hook
griet,brill
Moskou,Moscow
krijt,chalk
algemeen,generally
Spock,Spock
actrice,actress
Jess,Jess
redding,rescue
legde,laid
zinloos,meaningless
dertien,thirteen
cocaïne,cocaine
plots,suddenly
gevolg,consequence
troon,throne
non,non
klappen,clap
zeuren,to moan
smeer,lash
voert,feeds
haai,shark
bouw,build
dodelijke,deadly
hoofden,heads
tuig,rig
analyse,analysis
uitmaakt,Makes
treffen,find
opereren,to operate
zooi,stuff
accent,accent
kruipen,crawl
onderdelen,components
clown,clown
marinier,marine
weggelopen,walked away
depressief,depressed
rebellen,rebel
dumpen,to dump
handboeien,handcuff
kabel,cable
happy,happy
buurman,neighbour
achterlijk,retarded
beëindigen,to end
tempo,pace
road,road
onbeleefd,impolite
kameraad,comrade
vrouwtje,female
adviseur,counselor
bruine,brown
informant,informant
bevolking,population
beschaving,civilization
rechterhand,right hand
roman,novel
stort,dump
drieën,three
gedicht,poem
opletten,pay attention
werkten,worked
wodka,vodka
grappen,joke
zonsopgang,sunrise
beschouw,conscious
ziekenboeg,infirmary
werelden,worlds
stoer,cool
november,November
aankan,can
getest,tested
vanwaar,from what
toespraak,speech
harten,heart
tijdstip,time of day
kofferbak,trunk
bewaakt,guarded
kap,hood
aanvaard,accepted
weduwe,widow
koeien,cows
nagels,nails
zielige,pathetic
uitzending,broadcast
opsporen,track down
Rebecca,Rebecca
wijsheid,wisdom
voorstelling,presentation
neukt,fuck
hoeveelheid,quantity
Phoebe,Phoebe
dankje,thank you
vallei,valley
zussen,sisters
onthou,remove
testament,testament
codes,codes
strategie,strategy
heden,today
opstand,revolt
poten,legs
puinhoop,mess
verschijnen,to appear
zesde,sixth
afzetten,to take off
parkeerplaats,parking spot
wisselen,to switch
vreugde,joy
poesje,pussy
bestand,file
verhouding,ratio
originele,original
foute,wrong
Times,Times
hetgeen,which
massa,mass
figuur,figure
natie,nation
verrassen,to surprise
plank,shelf
verbroken,broken
typisch,typical
streng,strict
scholen,schools
liefst,sweetest
respecteer,respect
Blair,Blair
activiteiten,activities
gestudeerd,studied
noodzakelijk,necessary
keken,looked
belasting,tax
weddenschap,bet
krijger,warrior
alhoewel,although
mislukt,failed
apparatuur,equipment
boeien,fascinate
vermoeden,suspect
voorraad,stock
Gabriël,Gabriel
geil,horny
zestien,sixteen
product,product
nest,nest
wagens,cars
functie,function
ontstaan,to arise
Seattle,Seattle
heilig,holy
handdoek,towel
muis,mouse
succesvol,successful
idiote,idiotic
elektrische,electric
opgezet,set
diploma,diploma
springt,jumps
cd,CD
aantrekken,to attract
gehoopt,hoped
eis,requirement
banken,banks
bemoeien,interfere in
hierna,after this
examen,exam
strafblad,criminal record
zelden,rarely
balans,balance
verbeteren,improve
sparen,save
hersteld,recovered
geel,yellow
zwarten,blacks
extreem,extreme
bishop,bishop
republiek,republic
blonde,blonde
Janet,Janet
nutteloos,useless
Malcolm,Malcolm
professionele,professional
verzin,might
Miguel,Miguel
schok,shock
Craig,Craig
schrik,fright
alvast,already
boem,boom
spieren,muscles
record,record
loser,loser
drijven,to conduct
verberg,hidden
opgevallen,noticed
nakijken,check
emotionele,emotional
prioriteit,priority
onderschat,underestimated
rondje,round
ego,ego
beker,cup
professioneel,professional
winkelcentrum,mall
verzekeren,to ensure
beleid,policy
genoten,enjoyed
vee,cattle
vergif,poison
gastheer,host
wachtwoord,password
stam,tribe
ongeval,accident
leve,Long live
achternaam,last name
voorafging,preceded
vrijwillig,voluntarily
duim,thumb
Elliot,Elliot
stiekem,secretly
instinct,instinct
vereerd,honored
vergelijken,to compare
verdere,further
weetje,do you know
cola,coke
bod,bidding
put,well
ademhalen,breathe
vaardigheden,skills
ontvangt,receives
zeldzaam,rare
database,database
bitch,Bitch
ceremonie,ceremony
alibi,alibi
grootmoeder,grandmother
zakenman,businessman
stadje,town
charmant,charming
boekje,booklet
misdrijf,crime
spider,spider
checken,check
leed,sorrow
Marc,Marc
golven,waves
belooft,promises
Afghanistan,Afghanistan
ontsnapte,escaped
sokken,sock
vreemden,strangers
fascinerend,fascinating
vermoed,suspicion
verklaard,explained
afhankelijk,dependent
wonderen,miracles
grof,rough
cash,cash
finale,final
gebakken,fried
schaal,Scale
koppen,head
lek,leak
technische,technical
Fiona,Fiona
schijn,appearance
teleur,disappoint
Jules,Jules
troost,consolation
earl grey,Earl Gray
gestaan,stood
vest,vest
tegelijkertijd,at the same time
treden,step
zonsondergang,sunset
afnemen,take
trip,trip
zogenaamde,so-called
radar,radar
bewijsmateriaal,evidence
oppassen,to watch out
wijk,neighbourhood
vreemds,strange
afleiding,diversion
ontwikkelen,develop
rondlopen,walk around
illegale,illegal
arrest,judgment
gevechten,battles
moeras,marsh
paranoïde,paranoid
uitkijken,looking out
communiceren,to communicate
rent,run
ingebroken,broke into
ge,geom
zachtjes,gently
secretaresse,secretary
stoere,tough
Sun,Sun
gelegen,convenient
ham,ham
dagelijks,daily
inwoners,inhabitants
dekmantel,mantle
Dallas,Dallas
rozen,roses
boten,Boats
misbruik,abuse
deken,blanket
aanpassen,To adjust
sowieso,anyway
au,au
blad,sheet
scheppen,scoop
bekijkt,view
zuigen,suck
vergiftigd,poisoned
bezoekers,visitors
bezocht,visited
economie,economy
dappere,brave
linker,left
ontwerp,design
lijnen,lines
saus,sauce
uurtje,hour
special,special
praktisch,practically
gigantische,gigantic
Jen,Jen
luchtmacht,air force
uitleg,explanation
kalmeren,to calm down
academie,academy
bestanden,files
spuit,spray
united,United
wade,wade
euro,euro
mysterieuze,mysterious
tumor,tumor
huilt,cries
huwelijksreis,honeymoon
vastgebonden,tied
verlof,leave of absence
gevlogen,flown
wolven,wolves
enthousiast,enthusiastic
shock,shock
hopeloos,hopeless
Italiaans,Italian
insecten,insect
Pentagon,Pentagon
monsieur,monsieur
gegroet,goodbye
spraken,spoke
schreeuwde,screaming
vang,catch
Egypte,Egypt
duister,fiddling
proficiat,Congrats
mobieltje,cell phone
gore,gorge
waardeloze,hellless
gitaar,guitar
stapel,pile
verse,fresh
bedriegen,to cheat
aanraakt,touches
ontbreekt,is missing
jagers,hunters
varkens,pork
traceren,trace
gezonde,healthy
beledigen,to offend
schietpartij,shooting
naald,needle
protocol,protocol
leuks,fun
tanks,tanks
liter,liter
organen,organs
lichte,light
vernietig,destructive
smeren,lubricate
doelen,goals
warmte,heat
behandel,treatment
voorwaarts,forward
evacueren,evacuate
geleend,borrowed
mille,mille
moois,beautiful
munt,coin
mannelijke,male
gemeld,reported
kritiek,criticism
uitgekozen,picked out
geloofd,believed
olifant,elephant
handje,hand
Kansas,Kansas
terugbellen,call back
makkie,makkie
liedjes,songs
oproepen,to call to action
diverse,several
acties,actions
dwerg,dwarf
regelmatig,on a regular basis
plaatselijke,local
geroepen,convened
stoot,bump
verdragen,endure
nare,nasty
elektriciteit,electricity
ruimteschip,spaceship
sloot,ditch
hierop,here
verwondingen,injuries
verre,far -reaching
honkbal,baseball
vreemdeling,stranger
afgenomen,decreased
Natalie,Natalie
verwerken,process
inbraak,burglary
bonen,bean
scoren,to score
litteken,scar
schurk,rogue
werking,operation
Scofield,Scofield
slangen,snakes
kwaliteit,quality
beseffen,to realize
hot,hot
huisje,house
yep,yep
bekentenis,confession
gezag,authority
overwegen,consider
madame,madame
bepaalt,determines
platen,plates
rotsen,rock
geobsedeerd,obsessed
cake,Cake
toast,toast
werknemers,employees
uitzondering,exception
executie,execution
realiseer,realize
frequentie,frequency
probleempje,problem
danst,dance
spook,ghost
ertoe,or
reserve,reserve
blond,blond
ongelijk,unequal
maten,sizes
chemische,chemical
voortdurend,continual
vliegende,flying
kalkoen,Turkey
remmen,brakes
doodgaat,dies
website,website
pil,pill
loyaliteit,loyalty
letters,letters
nikker,nigger
hemd,shirt
stoelen,chair
racen,to race
doorgebracht,spent
luxe,luxury
chips,potato chips
dvd,DVD
bestuderen,study
Italiaanse,Italian
hieraan,here
rugzak,backpack
ontvang,receive
koffers,suitcase
tiener,teenager
hoever,how far
luchthaven,airport
riskant,risky
gewoond,lived
mw.,Mrs.
Duits,German
hiernaast,right
Robinson,Robinson
Artie,Artion
achterdeur,back door
geschorst,suspended
Gates,Gates
boter,butter
stank,smell
baantje,job
tragedie,tragedy
omheen,around
vernietiging,destruction
koper,buyer
kenden,know
invasie,invasion
eend,a D
vermaak,entertainment
elkaars,each other's
maart,March
zuiver,clear
gewelddadig,violent
egoïstisch,selfish
contacten,contacts
gezworen,sworn
herrie,noise
wolken,clouds
vrijgezel,Single
ongetwijfeld,doubtless
overtreding,offence
sterkste,strongest
creditcard,credit card
verzekerd,assured
tand,tooth
Debbie,Debbie
bakken,baking
zegene,bless
nieuwste,newest
verkrachting,rape
stoned,stoned
uiterste,extreme
roos,rose
gangster,gangster
bijen,bee
huilde,crying
compliment,compliment
jaagt,hunts
twijfelen,doubt
serveerster,waitress
teleurstellen,disappoint
verzamel,collect
tapijt,carpet
blut,bright
verkloot,loser
vermoorde,murdered
borden,plates
tegemoet,facilitate
nader,further
ongewoon,unusual
batterij,battery
liepen,walked
Batman,Batman
voorkant,front side
storing,malfunction
boksen,box
klem,clamp
aflevering,episode
gezeik,bullshit
detail,detail
haaien,shark
verzorgen,take care of
nichtje,cousin
vereist,requires
overhoop,upside down
raadsel,puzzle
zweren,to swear
weigerde,refused
agressief,aggressive
ram,Ram
a.u.b.,A.U.B.
artiest,artist
grootte,size
vrezen,fear
kwijtraken,lose
eeuwigheid,eternity
aas,bait
lerares,female teacher
allergisch,allergic
beveel,command
complex,complex
overhalen,to convince
kappen,cut
schijnen,to shine
activiteit,activity
honing,honey
weerstaan,to resist
grijze,gray
ongedeerd,unharmed
bol,sphere
opgehaald,picked up
klim,climb
gebeurtenis,event
stout,naughty
diagnose,diagnosis
beschoten,shot
kudde,herd
edgar,Edgar
uitstekende,excellent
afwachten,wait
bezittingen,possessions
politieman,police officer
warren,boot
uitrusting,equipment
affaire,affair
luid,loud
banen,job
aangetrokken,attracted
knoop,button
lachte,laughs
besturen,manage
vernield,destroyed
fris,fresh
basketbal,basketball
kraken,crack
afgeleid,distracted
beschrijven,to describe
bezeten,possessed
klooster,monastery
geïdentificeerd,identified
chinezen,Chinese
terugkeer,return
suite,suite
hamer,hammer
out,out
time,time
